Time Stamp|SSID|BSSID|RSSI
2018-10-07 04:35:54.418|WiFi-7TRU|a4:ca:a0:57:da:10|-55
2018-10-07 04:35:54.418|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-74
2018-10-07 04:35:54.418|TelstraF28877|24:20:c7:f2:88:7d|-81
2018-10-07 04:35:54.418|TelstraC083BD|f4:6b:ef:c0:83:c3|-94
2018-10-07 04:35:54.418|Telstra Air|f6:6b:ef:c0:83:c0|-96
2018-10-07 04:35:54.418|Fon WiFi|f6:6b:ef:c0:83:c1|-91
2018-10-07 04:35:54.418|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-92
2018-10-07 04:35:54.418|BigPond4EC9|10:0d:7f:da:8e:d9|-89
Time Stamp|SSID|BSSID|RSSI
2018-10-07 04:53:11.423|WiFi-7TRU|a4:ca:a0:57:da:10|-52
2018-10-07 04:53:11.423|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-70
2018-10-07 04:53:11.423|TelstraF28877|24:20:c7:f2:88:7d|-81
2018-10-07 04:53:11.423|TPG-9PYF|c4:05:28:f9:ca:44|-87
2018-10-07 04:53:11.423|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-88
2018-10-07 04:53:11.423|OPTUS_8090D7|18:90:d8:80:90:d8|-88
2018-10-07 04:53:11.423|TelstraC083BD|f4:6b:ef:c0:83:c3|-90
2018-10-07 04:53:11.423|Fon WiFi|f6:6b:ef:c0:83:c1|-90
2018-10-07 04:53:11.423|Telstra Air|f6:6b:ef:c0:83:c0|-91
Time Stamp|SSID|BSSID|RSSI
2018-10-07 05:13:11.336|WiFi-7TRU|a4:ca:a0:57:da:10|-57
2018-10-07 05:13:11.336|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-80
2018-10-07 05:13:11.336|TelstraF28877|24:20:c7:f2:88:7d|-84
2018-10-07 05:13:11.336|TPG-9PYF|c4:05:28:f9:ca:44|-90
2018-10-07 05:13:11.336|TelstraC083BD|f4:6b:ef:c0:83:c3|-94
2018-10-07 05:13:11.336|Telstra Air|f6:6b:ef:c0:83:c0|-91
2018-10-07 05:13:11.336|Fon WiFi|f6:6b:ef:c0:83:c1|-91
Time Stamp|SSID|BSSID|RSSI
2018-10-07 05:20:55.071|WiFi-7TRU|a4:ca:a0:57:da:10|-58
2018-10-07 05:20:55.071|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-79
2018-10-07 05:20:55.071|TelstraF28877|24:20:c7:f2:88:7d|-86
2018-10-07 05:20:55.071|WiFi-85B8|c4:71:54:d8:85:b8|-88
2018-10-07 05:20:55.071|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-89
2018-10-07 05:20:55.071|TPG-9PYF|c4:05:28:f9:ca:44|-90
2018-10-07 05:20:55.071|TelstraC083BD|f4:6b:ef:c0:83:c3|-90
2018-10-07 05:20:55.071|OPTUS_8090D7|18:90:d8:80:90:d8|-92
2018-10-07 05:20:55.071|Telstra Air|f6:6b:ef:c0:83:c0|-92
2018-10-07 05:20:55.071|Fon WiFi|f6:6b:ef:c0:83:c1|-93
