Time Stamp|SSID|BSSID|RSSI|dist
2018-11-06 17:13:44.245|uniwide|d0:72:dc:5c:08:fe|-66|0.0
2018-11-06 17:13:44.245||d0:72:dc:5c:08:fa|-64|0.0
2018-11-06 17:13:44.245||d0:72:dc:5c:08:f4|-60|0.0
2018-11-06 17:13:44.245|uniwide|d0:72:dc:53:60:91|-76|0.0
2018-11-06 17:13:44.245||d0:72:dc:53:60:94|-68|0.0
2018-11-06 17:13:44.245|eduroam|d0:72:dc:53:60:90|-73|0.0
2018-11-06 17:13:44.245||d0:72:dc:53:60:95|-69|0.0
2018-11-06 17:13:44.245|Global_Students|1c:e6:c7:5b:93:02|-68|0.0
2018-11-06 17:13:44.245|Global_Students|d0:72:dc:53:60:92|-70|0.0
2018-11-06 17:13:44.245|uniwide|1c:e6:c7:5b:93:01|-67|0.0
2018-11-06 17:13:44.245||1c:e6:c7:5b:93:05|-71|0.0
2018-11-06 17:13:44.245|uniwide|08:cc:68:b4:60:41|-73|0.0
2018-11-06 17:13:44.245|Global_Students|08:cc:68:b4:60:42|-79|0.0
2018-11-06 17:13:44.245|eduroam|1c:e6:c7:5b:93:00|-69|0.0
2018-11-06 17:13:44.245||08:cc:68:b4:60:45|-74|0.0
2018-11-06 17:13:44.245||08:cc:68:b4:60:44|-74|0.0
2018-11-06 17:13:44.245|uniwide|1c:e6:c7:5b:93:0e|-84|0.0
2018-11-06 17:13:44.245|eduroam|1c:e6:c7:5b:93:0f|-84|0.0
2018-11-06 17:13:44.245|Global_Students|1c:e6:c7:5b:93:0d|-81|0.0
2018-11-06 17:13:44.245|uniwide|d0:72:dc:68:8e:fe|-72|0.0
2018-11-06 17:13:44.245|eduroam|d0:72:dc:68:8e:ff|-72|0.0
2018-11-06 17:13:44.245|Global_Students|d0:72:dc:68:8e:fd|-74|0.0
2018-11-06 17:13:44.245||d0:72:dc:68:8e:fb|-75|0.0
2018-11-06 17:13:44.245|Global_Students|d0:72:dc:68:8e:f2|-80|0.0
2018-11-06 17:13:44.245|uniwide|d0:72:dc:68:8e:f1|-81|0.0
2018-11-06 17:13:44.245||d0:72:dc:68:8e:fa|-85|0.0
2018-11-06 17:13:44.245||1c:e6:c7:5b:93:0b|-85|0.0
2018-11-06 17:13:44.245||d0:72:dc:68:8e:f5|-72|0.0
2018-11-06 17:13:44.245|eduroam|d0:72:dc:68:8e:f0|-73|0.0
2018-11-06 17:13:44.245||54:78:1a:bf:9e:4a|-90|0.0
2018-11-06 17:13:44.245||08:cc:68:cc:16:bb|-89|0.0
2018-11-06 17:13:44.245||54:78:1a:bf:7e:bb|-90|0.0
2018-11-06 17:13:44.245|Global_Students|54:78:1a:bf:7e:bd|-90|0.0
2018-11-06 17:13:44.245|uniwide|54:78:1a:bf:9e:4e|-90|0.0
2018-11-06 17:13:44.245|Global_Students|08:cc:68:cc:16:bd|-90|0.0
2018-11-06 17:13:44.245||54:78:1a:bf:a7:da|-89|0.0
2018-11-06 17:13:44.245||08:cc:68:b4:60:4a|-91|0.0
2018-11-06 17:13:44.245|eduroam|54:78:1a:bf:a7:df|-89|0.0
2018-11-06 17:13:44.245||d0:72:dc:68:8e:f4|-79|0.0
2018-11-06 17:13:44.245||08:cc:68:cc:16:ba|-92|0.0
2018-11-06 17:13:44.245|Global_Students|58:97:1e:56:4a:fd|-92|0.0
2018-11-06 17:13:44.245|Global_Students|54:78:1a:bf:9e:4d|-93|0.0
2018-11-06 17:13:44.245||58:97:1e:56:4a:fb|-90|0.0
2018-11-06 17:13:44.245||54:78:1a:bf:a7:db|-86|0.0
2018-11-06 17:13:44.245|SCD-725002279W_P6|28:c2:dd:71:09:85|-71|0.0
2018-11-06 17:13:44.245|eduroam|58:97:1e:56:4a:f0|-80|0.0
2018-11-06 17:13:44.245||08:cc:68:b4:6e:7a|-88|0.0
2018-11-06 17:13:44.245|Global_Students|08:cc:68:b4:63:cd|-88|0.0
2018-11-06 17:13:44.245|Global_Students|08:cc:68:b4:6e:7d|-88|0.0
2018-11-06 17:13:44.245|eduroam|54:78:1a:bf:9e:4f|-88|0.0
2018-11-06 17:13:44.245|uniwide|1c:e6:c7:f0:1f:2e|-89|0.0
2018-11-06 17:13:44.245||1c:e6:c7:f0:1f:2a|-89|0.0
2018-11-06 17:13:44.245|eduroam|08:cc:68:b4:63:cf|-89|0.0
2018-11-06 17:13:44.245|uniwide|08:cc:68:b4:63:ce|-89|0.0
2018-11-06 17:13:44.245|uniwide|08:cc:68:b4:6e:7e|-90|0.0
2018-11-06 17:13:44.245|eduroam|08:cc:68:b4:6e:7f|-90|0.0
2018-11-06 17:13:44.245||58:97:1e:b2:2f:6b|-90|0.0
2018-11-06 17:13:44.245|uniwide|58:97:1e:b2:2f:66|-91|0.0
2018-11-06 17:13:44.245|eduroam|58:97:1e:b2:2f:6f|-91|0.0
2018-11-06 17:13:44.245||58:97:1e:b2:2f:6a|-92|0.0
2018-11-06 17:13:44.245|Global_Students|08:cc:68:b5:a9:9d|-93|0.0
2018-11-06 17:13:44.245|eduroam|08:cc:68:b4:60:4f|-94|0.0
2018-11-06 17:13:44.245||08:cc:68:b4:9d:0b|-94|0.0
2018-11-06 17:13:44.245||1c:e6:c7:f0:20:2a|-91|0.0
2018-11-06 17:13:44.245|eduroam|d0:72:dc:5c:08:f0|-75|0.0
2018-11-06 17:13:44.245|uniwide|d0:72:dc:5c:08:f1|-76|0.0
2018-11-06 17:13:44.245|Global_Students|d0:72:dc:5c:08:f2|-59|0.0
2018-11-06 17:13:44.245|Global_Students|d0:72:dc:5c:08:fd|-67|0.0
2018-11-06 17:13:44.245||d0:72:dc:5c:08:fb|-65|0.0
2018-11-06 17:13:44.245|eduroam|d0:72:dc:5c:08:ff|-63|0.0
2018-11-06 17:13:44.245|uniwide|d0:72:dc:5c:08:fe|-66|0.0
2018-11-06 17:13:44.245||d0:72:dc:5c:08:fa|-64|0.0
2018-11-06 17:13:44.245||d0:72:dc:5c:08:f4|-60|0.0
2018-11-06 17:13:44.245|uniwide|d0:72:dc:53:60:91|-76|0.0
2018-11-06 17:13:44.245||d0:72:dc:53:60:94|-68|0.0
2018-11-06 17:13:44.245|eduroam|d0:72:dc:53:60:90|-73|0.0
2018-11-06 17:13:44.245||d0:72:dc:53:60:95|-69|0.0
2018-11-06 17:13:44.245|Global_Students|1c:e6:c7:5b:93:02|-68|0.0
2018-11-06 17:13:44.245|Global_Students|d0:72:dc:53:60:92|-70|0.0
2018-11-06 17:13:44.245|uniwide|1c:e6:c7:5b:93:01|-67|0.0
2018-11-06 17:13:44.245||1c:e6:c7:5b:93:05|-71|0.0
2018-11-06 17:13:44.245|uniwide|08:cc:68:b4:60:41|-73|0.0
2018-11-06 17:13:44.245|Global_Students|08:cc:68:b4:60:42|-79|0.0
2018-11-06 17:13:44.245|eduroam|1c:e6:c7:5b:93:00|-69|0.0
2018-11-06 17:13:44.245||08:cc:68:b4:60:45|-74|0.0
2018-11-06 17:13:44.245||08:cc:68:b4:60:44|-74|0.0
2018-11-06 17:13:44.245|uniwide|1c:e6:c7:5b:93:0e|-84|0.0
2018-11-06 17:13:44.245|eduroam|1c:e6:c7:5b:93:0f|-84|0.0
2018-11-06 17:13:44.245|Global_Students|1c:e6:c7:5b:93:0d|-81|0.0
2018-11-06 17:13:44.245|uniwide|d0:72:dc:68:8e:fe|-72|0.0
2018-11-06 17:13:44.245|eduroam|d0:72:dc:68:8e:ff|-72|0.0
2018-11-06 17:13:44.245|Global_Students|d0:72:dc:68:8e:fd|-74|0.0
2018-11-06 17:13:44.245||d0:72:dc:68:8e:fb|-75|0.0
2018-11-06 17:13:44.245|Global_Students|d0:72:dc:68:8e:f2|-80|0.0
2018-11-06 17:13:44.245|uniwide|d0:72:dc:68:8e:f1|-81|0.0
2018-11-06 17:13:44.245||d0:72:dc:68:8e:fa|-85|0.0
2018-11-06 17:13:44.245||1c:e6:c7:5b:93:0b|-85|0.0
2018-11-06 17:13:44.245||d0:72:dc:68:8e:f5|-72|0.0
2018-11-06 17:13:44.245|eduroam|d0:72:dc:68:8e:f0|-73|0.0
2018-11-06 17:13:44.245||54:78:1a:bf:9e:4a|-90|0.0
2018-11-06 17:13:44.245||08:cc:68:cc:16:bb|-89|0.0
2018-11-06 17:13:44.245||54:78:1a:bf:7e:bb|-90|0.0
